OCC Code,Occupation Title,Major Category,
000N,N/A (not applicable),N/A,
6010,Agricultural inspectors,Natural Resources Construction and Maintenance,
6040,Graders and sorters, agricultural products,Natural Resources Construction and Maintenance
6050,Other agricultural workers,Natural Resources Construction and Maintenance,
6115,Fishing and hunting workers,Natural Resources Construction and Maintenance,
6120,Forest and conservation workers,Natural Resources Construction and Maintenance,
6130,Logging workers,Natural Resources Construction and Maintenance,
6200,First-line supervisors of construction trades and extraction workers,Natural Resources Construction and Maintenance,
6210,Boilermakers,Natural Resources Construction and Maintenance,
6220,"Brickmasons, blockmasons, and stonemasons",Natural Resources Construction and Maintenance,
6230,Carpenters,Natural Resources Construction and Maintenance,
6240,"Carpet, floor, and tile installers and finishers",Natural Resources Construction and Maintenance,
6250,"Cement masons, concrete finishers, and terrazzo workers",Natural Resources Construction and Maintenance,
6260,Construction laborers,Natural Resources Construction and Maintenance,
6305,Construction equipment operators,Natural Resources Construction and Maintenance,
6330,"Drywall installers, ceiling tile installers, and tapers",Natural Resources Construction and Maintenance,
6355,Electricians,Natural Resources Construction and Maintenance,
6360,Glaziers,Natural Resources Construction and Maintenance,
6400,Insulation workers,Natural Resources Construction and Maintenance,
6410,Painters and paperhangers,Natural Resources Construction and Maintenance,
6441,Pipelayers,Natural Resources Construction and Maintenance,
6442,"Plumbers, pipefitters, and steamfitters",Natural Resources Construction and Maintenance,
6460,Plasterers and stucco masons,Natural Resources Construction and Maintenance,
6515,Roofers,Natural Resources Construction and Maintenance,
6520,Sheet metal workers,Natural Resources Construction and Maintenance,
6530,Structural iron and steel workers,Natural Resources Construction and Maintenance,
6540,Solar photovoltaic installers,Natural Resources Construction and Maintenance,
6600,Helpers, construction trades,Natural Resources Construction and Maintenance
6660,Construction and building inspectors,Natural Resources Construction and Maintenance,
6700,Elevator installers and repairers,Natural Resources Construction and Maintenance,
6710,Fence erectors,Natural Resources Construction and Maintenance,
6720,Hazardous materials removal workers,Natural Resources Construction and Maintenance,
6730,Highway maintenance workers,Natural Resources Construction and Maintenance,
6740,Rail-track laying and maintenance equipment operators,Natural Resources Construction and Maintenance,
6765,Other construction and related workers,Natural Resources Construction and Maintenance,
6800,"Derrick, rotary drill, and service unit operators",Natural Resources Construction and Maintenance,
6825,Surface mining machine operators and earth drillers,Natural Resources Construction and Maintenance,
6835,"Explosives workers, ordnance handling experts, and blasters",Natural Resources Construction and Maintenance,
6850,Underground mining machine operators,Natural Resources Construction and Maintenance,
6950,Other extraction workers,Natural Resources Construction and Maintenance,
7000,"First-line supervisors of mechanics, installers, and repairers",Natural Resources Construction and Maintenance,
7010,"Computer, automated teller, and office machine repairers",Natural Resources Construction and Maintenance,
7020,Radio and telecommunications equipment installers and repairers,Natural Resources Construction and Maintenance,
7030,Avionics technicians,Natural Resources Construction and Maintenance,
7040,"Electric motor, power tool, and related repairers",Natural Resources Construction and Maintenance,
7100,Other electrical and electronic equipment mechanics,Natural Resources Construction and Maintenance,
7120,Electronic home entertainment equipment installers and repairers,Natural Resources Construction and Maintenance,
7130,Security and fire alarm systems installers,Natural Resources Construction and Maintenance,
7140,Aircraft mechanics and service technicians,Natural Resources Construction and Maintenance,
7150,Automotive body and related repairers,Natural Resources Construction and Maintenance,
7160,Automotive glass installers and repairers,Natural Resources Construction and Maintenance,
7200,Automotive service technicians and mechanics,Natural Resources Construction and Maintenance,
7210,Bus and truck mechanics and diesel engine specialists,Natural Resources Construction and Maintenance,
7220,Heavy vehicle and mobile equipment service technicians,Natural Resources Construction and Maintenance,
7240,Small engine mechanics,Natural Resources Construction and Maintenance,
7260,Miscellaneous vehicle and mobile equipment mechanics,Natural Resources Construction and Maintenance,
7300,Control and valve installers and repairers,Natural Resources Construction and Maintenance,
7315,"Heating, air conditioning, and refrigeration mechanics",Natural Resources Construction and Maintenance,
7320,Home appliance repairers,Natural Resources Construction and Maintenance,
7330,Industrial and refractory machinery mechanics,Natural Resources Construction and Maintenance,
7340,"Maintenance and repair workers, general",Natural Resources Construction and Maintenance,
7350,Maintenance workers, machinery,Natural Resources Construction and Maintenance
7360,Millwrights,Natural Resources Construction and Maintenance,
7410,Electrical power-line installers and repairers,Natural Resources Construction and Maintenance,
7420,Telecommunications line installers and repairers,Natural Resources Construction and Maintenance,
7430,Precision instrument and equipment repairers,Natural Resources Construction and Maintenance,
7510,"Coin, vending, and amusement machine servicers",Natural Resources Construction and Maintenance,
7540,Locksmiths and safe repairers,Natural Resources Construction and Maintenance,
7560,Riggers,Natural Resources Construction and Maintenance,
7610,Helpers--installation maintenance and repair workers,Natural Resources Construction and Maintenance,
7640,"Other installation, maintenance, and repair workers",Natural Resources Construction and Maintenance,
7700,First-line supervisors of production and operating workers,Production Transportation and Material Moving,
7720,"Electrical, electronics, and electromechanical assemblers",Production Transportation and Material Moving,
7730,Engine and other machine assemblers,Production Transportation and Material Moving,
7740,Structural metal fabricators and fitters,Production Transportation and Material Moving,
7750,Other assemblers and fabricators,Production Transportation and Material Moving,
7800,Bakers,Production Transportation and Material Moving,
7810,"Butchers and other meat, poultry, and fish processing workers",Production Transportation and Material Moving,
7830,"Food roasting, baking, and drying machine operators",Production Transportation and Material Moving,
7840,Food batchmakers,Production Transportation and Material Moving,
7850,Food cooking machine operators and tenders,Production Transportation and Material Moving,
7855,"Food processing workers, all other",Production Transportation and Material Moving,
7905,Computer numerically controlled tool operators and programmers,Production Transportation and Material Moving,
7925,"Forming machine setters, operators, and tenders",Production Transportation and Material Moving,
7950,"Cutting, punching, and press machine setters",Production Transportation and Material Moving,
8000,"Grinding, lapping, polishing, and buffing machine tool setters",Production Transportation and Material Moving,
8025,"Other machine tool setters, operators, and tenders",Production Transportation and Material Moving,
8030,Machinists,Production Transportation and Material Moving,
8040,"Metal furnace operators, tenders, pourers, and casters",Production Transportation and Material Moving,
8100,"Model makers, patternmakers, and molding machine setters",Production Transportation and Material Moving,
8130,Tool and die makers,Production Transportation and Material Moving,
8140,"Welding, soldering, and brazing workers",Production Transportation and Material Moving,
8225,Other metal workers and plastic workers,Production Transportation and Material Moving,
8250,Prepress technicians and workers,Production Transportation and Material Moving,
8255,Printing press operators,Production Transportation and Material Moving,
8256,Print binding and finishing workers,Production Transportation and Material Moving,
8300,Laundry and dry-cleaning workers,Production Transportation and Material Moving,
8310,"Pressers, textile, garment, and related materials",Production Transportation and Material Moving,
8320,Sewing machine operators,Production Transportation and Material Moving,
8335,Shoe and leather workers,Production Transportation and Material Moving,
8350,"Tailors, dressmakers, and sewers",Production Transportation and Material Moving,
8365,"Textile machine setters, operators, and tenders",Production Transportation and Material Moving,
8450,Upholsterers,Production Transportation and Material Moving,
8465,"Other textile, apparel, and furnishings workers",Production Transportation and Material Moving,
8500,Cabinetmakers and bench carpenters,Production Transportation and Material Moving,
8510,Furniture finishers,Production Transportation and Material Moving,
8530,"Sawing machine setters, operators, and tenders, wood",Production Transportation and Material Moving,
8540,"Woodworking machine setters, operators, and tenders",Production Transportation and Material Moving,
8555,Other woodworkers,Production Transportation and Material Moving,
8600,"Power plant operators, distributors, and dispatchers",Production Transportation and Material Moving,
8610,Stationary engineers and boiler operators,Production Transportation and Material Moving,
8620,Water and wastewater treatment plant and system operators,Production Transportation and Material Moving,
8630,Miscellaneous plant and system operators,Production Transportation and Material Moving,
8640,Chemical processing machine setters and operators,Production Transportation and Material Moving,
8650,"Crushing, grinding, polishing, mixing, and blending workers",Production Transportation and Material Moving,
8710,Cutting workers,Production Transportation and Material Moving,
8720,"Extruding, forming, pressing, and compacting machine setters",Production Transportation and Material Moving,
8730,"Furnace, kiln, oven, drier, and kettle operators",Production Transportation and Material Moving,
8740,"Inspectors, testers, sorters, samplers, and weighers",Production Transportation and Material Moving,
8750,Jewelers and precious stone and metal workers,Production Transportation and Material Moving,
8760,Dental and ophthalmic laboratory technicians,Production Transportation and Material Moving,
8800,Packaging and filling machine operators and tenders,Production Transportation and Material Moving,
8810,Painting workers,Production Transportation and Material Moving,
8830,Photographic process workers and machine operators,Production Transportation and Material Moving,
8850,Adhesive bonding machine operators and tenders,Production Transportation and Material Moving,
8910,Etchers and engravers,Production Transportation and Material Moving,
8920,"Molders, shapers, and casters, except metal and plastic",Production Transportation and Material Moving,
8930,Paper goods machine setters and operators,Production Transportation and Material Moving,
8940,Tire builders,Production Transportation and Material Moving,
8950,Helpers--production workers,Production Transportation and Material Moving,
8990,Miscellaneous production workers,Production Transportation and Material Moving,
9005,Supervisors of transportation and material moving workers,Production Transportation and Material Moving,
9030,Aircraft pilots and flight engineers,Production Transportation and Material Moving,
9040,Air traffic controllers and airfield operations specialists,Production Transportation and Material Moving,
9050,Flight attendants,Production Transportation and Material Moving,
9110,Ambulance drivers and attendants,Production Transportation and Material Moving,
9121,Bus drivers, school,Production Transportation and Material Moving
9122,"Bus drivers, transit and intercity",Production Transportation and Material Moving,
9130,Driver/sales workers and truck drivers,Production Transportation and Material Moving,
9141,Shuttle drivers and chauffeurs,Production Transportation and Material Moving,
9142,Taxi drivers,Production Transportation and Material Moving,
9150,"Motor vehicle operators, all other",Production Transportation and Material Moving,
9210,Locomotive engineers and operators,Production Transportation and Material Moving,
9240,Railroad conductors and yardmasters,Production Transportation and Material Moving,
9265,Other rail transportation workers,Production Transportation and Material Moving,
9300,"Sailors and marine oilers, and ship engineers",Production Transportation and Material Moving,
9310,Ship and boat captains and operators,Production Transportation and Material Moving,
9350,Parking attendants,Production Transportation and Material Moving,
9365,Transportation service attendants,Production Transportation and Material Moving,
9410,Transportation inspectors,Production Transportation and Material Moving,
9415,Passenger attendants,Production Transportation and Material Moving,
9430,Other transportation workers,Production Transportation and Material Moving,
9510,Crane and tower operators,Production Transportation and Material Moving,
9570,"Conveyor, dredge, and hoist and winch operators",Production Transportation and Material Moving,
